,url,name,categories,img_url,user_reviews,date,price,pegi_desc
12,https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/?snr=1_7_7_230_150_1,Halo: The Master Chief Collection,Single-playerOnline PvPLAN PvPOnline Co-opLAN Co-opSteam AchievementsFull controller supportSteam Trading CardsRemote Play on PhoneRemote Play on TabletRemote Play on TVRequires 3rd-Party Account: Xbox Live Requires agreement to a 3rd-party EULAHalo: The Master Chief Collection EULA,https://steamcdn-a.akamaihd.net/steam/apps/976730/header.jpg?t=1600795638,"3,420;93","Dec 3, 2019",39.99,Mature 17+
13,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_230_150_1,Red Dead Redemption 2,Single-playerOnline PvPOnline Co-opSteam AchievementsIn-App PurchasesPartial Controller SupportRemote Play on PhoneRemote Play on TabletRequires 3rd-Party Account: Rockstar Games Social Club Requires agreement to a 3rd-party EULARed Dead Redemption 2 EULA,https://steamcdn-a.akamaihd.net/steam/apps/1174180/header.jpg?t=1597419522,"6,469;88","Dec 5, 2019",59.99,Mature 17+
14,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_230_150_1,Sid Meier’s Civilization® VI,Single-playerOnline PvPLAN PvPShared/Split Screen PvPCross-Platform MultiplayerSteam AchievementsSteam Trading CardsSteam WorkshopSteam Turn NotificationsRemote Play on TabletRemote Play TogetherRequires agreement to a 3rd-party EULASid Meier's Civilization VI EULA,https://steamcdn-a.akamaihd.net/steam/apps/289070/header.jpg?t=1600988681,"2,643;89","Oct 20, 2016",59.99,Everyone
15,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_230_150_1,SMITE®,Steam AchievementsSteam Trading CardsRequires 3rd-Party Account: SMITE Account Requires agreement to a 3rd-party EULASMITE EULA,https://steamcdn-a.akamaihd.net/steam/apps/386360/header.jpg?t=1601990166,"1,355;77","Sep 8, 2015",0.00,Teen
16,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_230_150_1,Monster Hunter: World,Single-playerSteam AchievementsSteam Trading CardsPartial Controller SupportSteam CloudStatsSteam LeaderboardsRemote Play on TabletIncorporates 3rd-party DRM: Denuvo Anti-tamper5 different PC within a day machine activation limitRequires agreement to a 3rd-party EULAMONSTER HUNTER: WORLD EULA,https://steamcdn-a.akamaihd.net/steam/apps/582010/header.jpg?t=1602806745,"4,572;91","Aug 9, 2018",29.99,Teen
17,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_230_150_1,No Man's Sky,Single-playerOnline PvPOnline Co-opSteam AchievementsFull controller supportSteam CloudRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULANo Man's Sky EULA,https://steamcdn-a.akamaihd.net/steam/apps/275850/header.jpg?t=1602779406,"4,605;89","Aug 12, 2016",59.99,Teen
18,https://store.steampowered.com/app/1041720/Kingdoms_of_Amalur_ReReckoning/?snr=1_7_7_230_150_1,Kingdoms of Amalur: Re-Reckoning,Single-playerSteam AchievementsFull controller supportSteam Trading CardsSteam Cloud,https://steamcdn-a.akamaihd.net/steam/apps/1041720/header.jpg?t=1602692932,"2,088;70","Sep 8, 2020",39.99,Mature 17+
19,https://store.steampowered.com/app/997070/Marvels_Avengers/?snr=1_7_7_230_150_1,Marvel's Avengers,Single-playerOnline Co-opSteam AchievementsFull controller supportSteam Trading CardsIn-App PurchasesSteam CloudIncorporates 3rd-party DRM: Denuvo Anti-tamperRequires 3rd-Party Account: SQUARE ENIX Members (Supports Linking to Steam Account)Requires agreement to a 3rd-party EULAMarvel's Avengers EULA,https://steamcdn-a.akamaihd.net/steam/apps/997070/header.jpg?t=1599845344,"9,440;65","Sep 4, 2020",59.99,Teen
20,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_230_150_1,Risk of Rain 2,Single-playerOnline PvPOnline Co-opFull controller supportSteam CloudSteam LeaderboardsRemote Play on PhoneRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULARisk of Rain 2 EULA,https://steamcdn-a.akamaihd.net/steam/apps/632360/header.jpg?t=1597330177,"2,421;96","Aug 11, 2020",24.99,Teen
21,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_230_150_1,Grounded,Single-playerOnline Co-opFull controller supportSteam Trading CardsSteam CloudRemote Play on TabletRequires 3rd-Party Account: Xbox Live ,https://steamcdn-a.akamaihd.net/steam/apps/962130/header.jpg?t=1602794297,917;88,"Jul 28, 2020",29.99,Rate Pending
